Nume,Email,"Facturare - Judet",Tip,Cui,Industrie,"Creat La"
"Ralcom Exhibitions SRL",,,,RO4925905,,"2023-01-13 13:44:19"
"Ralma Construct Grup SRL",,,,RO13722950,,"2023-01-13 13:44:19"
"Raluv 2000 srl",,,,RO299784,,"2023-01-13 13:44:19"
"Rambo CO",,,,,,"2023-01-13 13:44:19"
"Ranco Promotional Product",,,,RO6647538,,"2023-01-13 13:44:19"
"Rany Man Impex SRL",,,,RO34545088,,"2023-01-13 13:44:19"
"Rao Distributie SRL",,,,RO6841606,,"2023-01-13 13:44:19"
"Rasib Partner SRL",,,,RO17490748,,"2023-01-13 13:44:19"
"Razvan Botezatu",,,,1.79063E+12,,"2023-01-13 13:44:19"
"Real Group",,,,RO13835682,,"2023-01-13 13:44:19"
"Real Hypermarket",,,,RO17294806,,"2023-01-13 13:44:19"
"Real Trading",,,,RO5889878,,"2023-01-13 13:44:19"
"Regency Company",,,,RO11680026,,"2023-01-13 13:44:19"
"Regia Nat.a Padurilor Romsilva RA",,,,RO1590120,,"2023-01-13 13:44:19"
"Rest Food",,,,RO17860638,,"2023-01-13 13:44:19"
"Restaurant Anul 1938 SRL",,,,RO28408337,,"2023-01-13 13:44:19"
"Restaurant Isoletta",,,,RO27241060,,"2023-01-13 13:44:19"
"Restaurante Trattoria Il Calcio SRL",,,,RO16792110,,"2023-01-13 13:44:19"
"Rewe Romania SRL",,,,RO13348610,,"2023-01-13 13:44:19"
"Riga Dragos Ioan",,,,1.74083E+12,,"2023-01-13 13:44:19"
"Rin Hospitality Company SRL",,,,RO23733531,,"2023-01-13 13:44:19"
"Ristorante Isoletta SRL",,,,RO27241060,,"2023-01-13 13:44:19"
"Rivoli MD SRL",,,,RO17709873,,"2023-01-13 13:44:19"
"Ro stef trading",,,,RO0447791,,"2023-01-13 13:44:19"
"Robin Podul Doamnei SRL",,,,31225968,,"2023-01-13 13:44:19"
"Robusta Prod Com Impex SRL",,,,R9616331,,"2023-01-13 13:44:19"
"Roc tel",,,,RO15506864,,"2023-01-13 13:44:19"
"Roccas ICCP SRL",,,,RO2595665,,"2023-01-13 13:44:19"
"Roche Romania SRL",,,,RO17551047,,"2023-01-13 13:44:19"
"Roco Sistem SRL",,,,RO15889930,,"2023-01-13 13:44:19"
"Rodrag Trade co",,,,RO8961617,,"2023-01-13 13:44:19"
"Roexpo Media",,,,RO25774589,,"2023-01-13 13:44:19"
"Rom Succes SRL",,,,RO7196940,,"2023-01-13 13:44:19"
"Rom Vest SRL",,,,RO14689925,,"2023-01-13 13:44:19"
RomPhoto&Gsm,,,,RO12117145,,"2023-01-13 13:44:19"
RomVac,,,,RO482384,,"2023-01-13 13:44:19"
"Romalex96 Impex SRL",,,,RO8739239,,"2023-01-13 13:44:19"
"Romania Data System SA",,,,RO0185860,,"2023-01-13 13:44:19"
"Romania Hypermarche",,,,RO14374293,,"2023-01-13 13:44:19"
"Romania Travel Plus SRL",,,,RO10124944,,"2023-01-13 13:44:19"
"Rombiomedica SRL",,,,RO8936885,,"2023-01-13 13:44:19"
Rombiz,,,,RO1595012,,"2023-01-13 13:44:19"
"Rombyte System SRL",,,,RO11273499,,"2023-01-13 13:44:19"
"Romexpo International srl",,,,RO9133302,,"2023-01-13 13:44:19"
"Romfood production",,,,RO1580313,,"2023-01-13 13:44:19"
"Rommil Prod Com Impex SRL",,,,RO3016761,,"2023-01-13 13:44:19"
Romovi,,,,RO9489599,,"2023-01-13 13:44:19"
"Rompadur Imp.SRL",,,,RO33988100000,,"2023-01-13 13:44:19"
Rompetrol,,,,RO12751583,,"2023-01-13 13:44:19"
"Romseki Impex SRL",,,,RO10161519,,"2023-01-13 13:44:19"
Romsirex,,,,RO8654485,,"2023-01-13 13:44:19"
Romsoft,,,,RO1573405,,"2023-01-13 13:44:19"
"Romstal Imex SRL",,,,RO5990324,,"2023-01-13 13:44:19"
"Romsucces 95 SRL",,,,RO7196940,,"2023-01-13 13:44:19"
Romtrans,,,,RO400805,,"2023-01-13 13:44:19"
"Ronexprim SRL",,,,RO1594351,,"2023-01-13 13:44:19"
"Ronin serv impex",,,,RO15792553,,"2023-01-13 13:44:19"
"Rosmir Comexim",,,,RO787163,,"2023-01-13 13:44:19"
"Rosu Ana Maria",,,,2.79122E+12,,"2023-01-13 13:44:19"
"Rotest SRL",,,,RO13362371,,"2023-01-13 13:44:19"
"Roua Sea Food",,,,RO25200667,,"2023-01-13 13:44:19"
"Roumasport SRL",,,,RO23727785,,"2023-01-13 13:44:19"
"Roxy Service Roti SRL-D",,,,33840918,,"2023-01-13 13:44:19"
"Royal Caro",,,,RO1571722,,"2023-01-13 13:44:19"
"Rubin 2000 Impex SRL",,,,RO13314110,,"2023-01-13 13:44:19"
"Ruby-Food Co.Impex SRL",,,,RO13249837,,"2023-01-13 13:44:19"
"Ryanair Dac",,,,RO35692591,,"2023-01-13 13:44:19"
"SCA Popa,Cionca si Asociatii",,,,RO45410965,,"2023-01-13 13:44:19"
"SCA Stratula Mocanu &Asociatii",,,,RO19021268,,"2023-01-13 13:44:19"
"SCA Stratula si Asociatii",,,,RO19021268,,"2023-01-13 13:44:19"
"SDV Scac",,,,,,"2023-01-13 13:44:19"
"SF Store Exim SRL",,,,RO3542189,,"2023-01-13 13:44:19"
"SIG I Com Impex SRL",,,,RO12143624,,"2023-01-13 13:44:19"
"SIVTEL srl",,,,RO6045850,,"2023-01-13 13:44:19"
"SMV The Vets SRL",,,,RO41744377,,"2023-01-13 13:44:19"
SND,,,,RO6054368,,"2023-01-13 13:44:19"
"SNTFC CFR-CALATORI SA",,,,RO11054545,,"2023-01-13 13:44:19"
"SRC Medical Events SRL",,,,RO35208994,,"2023-01-13 13:44:19"
SVIAM,,,,RO611503,,"2023-01-13 13:44:19"
"SVO Prodcart SRL",,,,RO4926986,,"2023-01-13 13:44:19"
"Sabatini Pizza SRL",,,,RO22245630,,"2023-01-13 13:44:19"
"Sabin construct",,,,RO15671713,,"2023-01-13 13:44:19"
"Sabina Moraru",,,,RO7250915,,"2023-01-13 13:44:19"
"Sabon Holdings SRL",,,,RO16222607,,"2023-01-13 13:44:19"
"SalvaVet Comimpex SVS SRL",,,,RO5119321,,"2023-01-13 13:44:19"
"Salvati Copiii Romania",,,,3151288,,"2023-01-13 13:44:19"
"Sama Bit SRL",,,,RO12777567,,"2023-01-13 13:44:19"
"Sama Ristorante&Club srl",,,,RO21555420,,"2023-01-13 13:44:19"
"Sama Service Grup SA",,,,RO366819,,"2023-01-13 13:44:19"
"San-Andreas Auto Clean SRL",,,,RO26959968,,"2023-01-13 13:44:19"
"Sanco Grup SRL",,,,RO15215318,,"2023-01-13 13:44:19"
"Sanior Com SRL",,,,RO7900727,,"2023-01-13 13:44:19"
"Sanivet Serv SRL",,,,RO26276388,,"2023-01-13 13:44:19"
Sanrino,,,,RO2603334,,"2023-01-13 13:44:19"
"Savia Consult Impex",,,,RO14363979,,"2023-01-13 13:44:19"
"Savu Vasilica",,,,1.6303E+12,,"2023-01-13 13:44:19"
"Scale expert SRL",,,,RO30798819,,"2023-01-13 13:44:19"
"Schenker Romtrans SA",,,,RO5905159,,"2023-01-13 13:44:19"
"Scoala Gimnaziala ''Ioanid ''",,,,33677790,,"2023-01-13 13:44:19"
"Seartte Music SRL",,,,37783912,,"2023-01-13 13:44:19"
"Selcam Serv SRL",,,,24420249,,"2023-01-13 13:44:19"
"Selective Network SRL",,,,RO17351120,,"2023-01-13 13:44:19"
"Sem Team Partener SRL",,,,RO16139677,,"2023-01-13 13:44:19"
"Sema Parc SA",,,,RO14703086,,"2023-01-13 13:44:19"
"Semina Ioana",,,,2.77013E+12,,"2023-01-13 13:44:19"
"Senator Impex SRL",,,,RO1577024,,"2023-01-13 13:44:19"
Sensiblu,,,,RO14039230,,"2023-01-13 13:44:19"
"Sepadin SRL",,,,RO3341894,,"2023-01-13 13:44:19"
"Sephora Cosmetics Romania SA",,,,RO13434907,,"2023-01-13 13:44:19"
"Serico SA",,,,RO906,,"2023-01-13 13:44:19"
"Serota G.Alina Elena Traducator",,,,30525436,,"2023-01-13 13:44:19"
"Serramag Med SRL",,,,RO40023607,,"2023-01-13 13:44:19"
"Service Auto Grigorescu Parts SRL",,,,RO42626140,,"2023-01-13 13:44:19"
"Service Auto Serus",,,,RO1316,,"2023-01-13 13:44:19"
"Seven Seas Exim SRL",,,,RO7706535,,"2023-01-13 13:44:19"
"Severin SRL",,,,RO15141,,"2023-01-13 13:44:19"
"Shark Industries SRL",,,,RO6710295,,"2023-01-13 13:44:19"
"Sheba exim",,,,RO5441423,,"2023-01-13 13:44:19"
"Shell Romania",,,,RO1598868,,"2023-01-13 13:44:19"
"Sibella Stil SRL",,,,RO16938160,,"2023-01-13 13:44:19"
"Sigma Fina",,,,RO400,,"2023-01-13 13:44:19"
"Sigmanet Computers",,,,RO6767380,,"2023-01-13 13:44:19"
"Silion SRL",,,,RO431682,,"2023-01-13 13:44:19"
"Silvexim Star SRL",,,,RO6766091,,"2023-01-13 13:44:19"
Silvio,,,,RO5349487,,"2023-01-13 13:44:19"
"Simon Medical",,,,RO16213943,,"2023-01-13 13:44:19"
"Simpharmamed Consultancy SRL",,,,33946030,,"2023-01-13 13:44:19"
"Simpo Trans Service",,,,RO16492988,,"2023-01-13 13:44:19"
"Sirius Distribution SRL",,,,RO16746300,,"2023-01-13 13:44:19"
"Siv.Tel SRL",,,,RO045650,,"2023-01-13 13:44:19"
"Smart Business & Events SRL",,,,RO22542142,,"2023-01-13 13:44:19"
"Smart Event Consulting",,,,RO26441809,,"2023-01-13 13:44:19"
"Smart Serv 2003",,,,RO15234476,,"2023-01-13 13:44:19"
"Smart Solutions Factory SRL",,,,RO30190306,,"2023-01-13 13:44:19"
"Smile & Travel",,,,RO21397931,,"2023-01-13 13:44:19"
"Soc. Coop. Mest. Cartonajul SCM",,,,RO558,,"2023-01-13 13:44:19"
"Societate Profesionala Notariala ''AMAN''",,,,RO13618535,,"2023-01-13 13:44:19"
"Societate de avocati Capisizu&Asociatii",,,,RO20727713,,"2023-01-13 13:44:19"
"Societatea Companiilor Hoteliere Grand",,,,RO1594319,,"2023-01-13 13:44:19"
"Societatea Hoteliera Times SRL",,,,R7004174,,"2023-01-13 13:44:19"
"Sodo Migliori Romania SRL",,,,RO3402231,,"2023-01-13 13:44:19"
"Sof Medica SRL",,,,RO6719715,,"2023-01-13 13:44:19"
"Sof Service SRL",,,,RO14872336,,"2023-01-13 13:44:19"
Softwin,,,,RO1569706,,"2023-01-13 13:44:19"
"Soimu 79 Euroconstruct SRL",,,,RO18492046,,"2023-01-13 13:44:19"
"Solmar Trading Grup SRL",,,,RO14180912,,"2023-01-13 13:44:19"
"Solutii Complete Economice SRL",,,,RO26208901,,"2023-01-13 13:44:19"
"Sonya Mod SA",,,,RO9224451,,"2023-01-13 13:44:19"
"Sorceti Expeditii si Transporturi SRL",,,,RO8629031,,"2023-01-13 13:44:19"
"Sosoi Slavita Dana",,,,2.82051E+12,,"2023-01-13 13:44:19"
"Sp. Cl. Caritas - Acad. Nicolae Cajal BUC",,,,3212377,,"2023-01-13 13:44:19"
"Sphera Serv Impex SRL",,,,RO25438643,,"2023-01-13 13:44:19"
"Springtrest SA",,,,RO6615099,,"2023-01-13 13:44:19"
"Sprint Curier Expres SRL",,,,RO24736072,,"2023-01-13 13:44:19"
"Sprint Curier SRL",,,,RO14429186,,"2023-01-13 13:44:19"
"Staff Collection",,,,RO6003880,,"2023-01-13 13:44:19"
"Stamen Rom Service SRL",,,,RO16758444,,"2023-01-13 13:44:19"
"Stanca Bussiness",,,,RO14446586,,"2023-01-13 13:44:19"
Stanley,,,,RO23120,,"2023-01-13 13:44:19"
"Stanrom PT Impex SRL",,,,RO325690,,"2023-01-13 13:44:19"
Stantrans,,,,RO17439893,,"2023-01-13 13:44:19"
"Star Sting SRL",,,,RO25408111,,"2023-01-13 13:44:19"
"Stef trading",,,,RO1044779,,"2023-01-13 13:44:19"
"Steilmann Bukarest SRL",,,,RO7061706,,"2023-01-13 13:44:19"
"Stelano Star",,,,RO6929510,,"2023-01-13 13:44:19"
"Steril Romania SRL",,,,RO12284240,,"2023-01-13 13:44:19"
"Sterimed Com SRL",,,,RO16552354,,"2023-01-13 13:44:19"
"Stil Biotechnology",,,,RO22591854,,"2023-01-13 13:44:19"
"Store Exim Resort SRL",,,,26579969,,"2023-01-13 13:44:19"
"Stoyk Company SRL",,,,RO7299326,,"2023-01-13 13:44:19"
"Strivex Trading SRL",,,,RO3168972,,"2023-01-13 13:44:19"
"Strizu Robert Antonio Group SRL",,,,RO17073163,,"2023-01-13 13:44:19"
"Strong Roof SRL",,,,RO31377770,,"2023-01-13 13:44:19"
"Suciu Francisc",,,,1.5201E+12,,"2023-01-13 13:44:19"
"Sucursala CFR",,,,RO28557886,,"2023-01-13 13:44:19"
"Sunmedair Travel & Tourism Services SRL",,,,RO13683142,,"2023-01-13 13:44:19"
"Super Electronic 2000 SRL",,,,RO11685040,,"2023-01-13 13:44:19"
"SuperTi srl",,,,RO12544308,,"2023-01-13 13:44:19"
"Superb 90 Incom SRL",,,,RO1570190,,"2023-01-13 13:44:19"
"Supercom SA",,,,RO3884955,,"2023-01-13 13:44:19"
"Synlab West SRL",,,,16914802,,"2023-01-13 13:44:19"
"Sysmed Technics SRL",,,,RO22633607,,"2023-01-13 13:44:19"
"System Plus SRL",,,,RO6946106,,"2023-01-13 13:44:19"
"TBI Leasing",,,,RO5282002,,"2023-01-13 13:44:19"
"TDN Consulting Group",,,,RO14533283,,"2023-01-13 13:44:19"
"TG Solutions Com SRL",,,,RO14685818,,"2023-01-13 13:44:19"
"TNT Romania SRL",,,,RO1592989,,"2023-01-13 13:44:19"
"TOP SERV srl",,,,RO11052943,,"2023-01-13 13:44:19"
TRIX,,,,RO35384,,"2023-01-13 13:44:19"
"TSI Consultanta si Training SRL",,,,RO16965016,,"2023-01-13 13:44:19"
"Taboo Boys&Girls SRL",,,,RO25600329,,"2023-01-13 13:44:19"
"Tag Grup",,,,RO16316000,,"2023-01-13 13:44:19"
"Tag Grup S.R.L.",,,,RO16316000,,"2023-01-13 13:44:19"
"Tamisa Trading",,,,RO590546,,"2023-01-13 13:44:19"
"Tano Activ Service SRL",,,,30790599,,"2023-01-13 13:44:19"
"Tara's vet",,,,Ro13061484,,"2023-01-13 13:44:19"
"Tarom Romania",,,,RO477647,,"2023-01-13 13:44:19"
"Tasknet Computer SRL",,,,31179691,,"2023-01-13 13:44:19"
"Taurus Group SRL",,,,RO13556955,,"2023-01-13 13:44:19"
"Taverna Sarbului",,,,RO15105404,,"2023-01-13 13:44:19"
Taxi,,,,,,"2023-01-13 13:44:19"
"Taxi Bucuresti",,,,,,"2023-01-13 13:44:19"
"Taxi Flamingo",,,,RO12461628,,"2023-01-13 13:44:19"
"Tech-Con Industry SRL",,,,RO18886172,,"2023-01-13 13:44:19"
"Tehno Electro Med.Company SRL",,,,RO217930,,"2023-01-13 13:44:19"
"Tehno Electro Medical Company SRL",,,,RO217930,,"2023-01-13 13:44:19"
"Tehnobit SRL",,,,RO5635624,,"2023-01-13 13:44:19"
Tehnoplus,,,,RO4261939,,"2023-01-13 13:44:19"
"Tehnoplus Industry SRL",,,,RO18488029,,"2023-01-13 13:44:19"
"Tehvorom Snagov SRL",,,,RO15062753,,"2023-01-13 13:44:19"
Tekno,,,,RO6891930,,"2023-01-13 13:44:19"
"Telecom Network Solutions",,,,RO18155393,,"2023-01-13 13:44:19"
"Telekom Romania",,,,RO427320,,"2023-01-13 13:44:19"
"Telemobil SA-ZAP",,,,RO1596697,,"2023-01-13 13:44:19"
"Templul SRL",,,,RO12188782,,"2023-01-13 13:44:19"
"Teo Prod Exim SRL",,,,RO15323549,,"2023-01-13 13:44:19"
"Teravet SRL",,,,RO13681338,,"2023-01-13 13:44:19"
"Terminal 1",,,,RO18069012,,"2023-01-13 13:44:19"
"Termomax Romania SRL",,,,RO6613578,,"2023-01-13 13:44:19"
"Terra Travel Services SRL",,,,RO30821440,,"2023-01-13 13:44:19"
"Terra Travel srl",,,,RO11092891,,"2023-01-13 13:44:19"
"Terranita dela Spiga SRL",,,,RO18430540,,"2023-01-13 13:44:19"
"Test Auto Radovanu SRL",,,,31801785,,"2023-01-13 13:44:19"
"Tester LMD Consulting",,,,RO18290675,,"2023-01-13 13:44:19"
Tetravet,,,,RO9319110,,"2023-01-13 13:44:19"
"Thalia Trading SRL",,,,RO11704443,,"2023-01-13 13:44:19"
"The Prince International SRL",,,,RO6079764,,"2023-01-13 13:44:19"
"Tiovet SRL",,,,RO17440766,,"2023-01-13 13:44:19"
"Tip Top Food Industry SRL",,,,RO3900317,,"2023-01-13 13:44:19"
"Tipo Construct",,,,RO14751016,,"2023-01-13 13:44:19"
"Tire Expert SRL",,,,RO14638395,,"2023-01-13 13:44:19"
"Tires and Parts SRL",,,,RO35056829,,"2023-01-13 13:44:19"
"Tiriac Auto SRL",,,,RO11331727,,"2023-01-13 13:44:19"
"Tomahawk SRL",,,,RO15338604,,"2023-01-13 13:44:19"
"Tonka Distribution SRL",,,,RO21621728,,"2023-01-13 13:44:19"
"Top Diagnostics SRL",,,,RO10572840,,"2023-01-13 13:44:19"
"Top Events Planner SRL",,,,RO36516780,,"2023-01-13 13:44:19"
"Top Line Management SRL",,,,RO16237071,,"2023-01-13 13:44:19"
"Top Services Ind.",,,,RO16465568,,"2023-01-13 13:44:19"
"Top Tea Company SRL",,,,RO27969390,,"2023-01-13 13:44:19"
"Top Textim SRL",,,,RO16295790,,"2023-01-13 13:44:19"
"Topocad Plan SRL",,,,RO18607367,,"2023-01-13 13:44:19"
"Torini Comserv srl",,,,RO9235558,,"2023-01-13 13:44:19"
"Toro 95 srl",,,,RO7419821,,"2023-01-13 13:44:19"
"Tour Media Print SL",,,,RO29971320,,"2023-01-13 13:44:19"
"Touring Europabus Romania SRL",,,,RO7177280,,"2023-01-13 13:44:19"
"Touring Imobiliare SRL",,,,RO15807816,,"2023-01-13 13:44:19"
"Tradco RDI SRL",,,,RO18082380,,"2023-01-13 13:44:19"
"Traducator Autorizati Diversi",,,,,,"2023-01-13 13:44:19"
"Trady 2000",,,,RO12472171,,"2023-01-13 13:44:19"
"Trans Tour",,,,RO15646507,,"2023-01-13 13:44:19"
"Trans courier",,,,RO13191000,,"2023-01-13 13:44:19"
"Trans-Com Diplomat-Cristian SRL",,,,RO31193190,,"2023-01-13 13:44:19"
"Transelectrica SA",,,,RO13328043,,"2023-01-13 13:44:19"
"Trattoria IL Calcio SRL",,,,RO16792110,,"2023-01-13 13:44:19"
"Travel House",,,,RO6916202,,"2023-01-13 13:44:19"
"Trei A Service SRL",,,,RO12014301,,"2023-01-13 13:44:19"
"Tria Alfa Bijuterii SRL",,,,RO12818780,,"2023-01-13 13:44:19"
"Tria's Amway",,,,RO11301807,,"2023-01-13 13:44:19"
"Trima design",,,,RO13990635,,"2023-01-13 13:44:19"
Trivet,,,,RO16503980,,"2023-01-13 13:44:19"
"Trodat Stampile srl",,,,RO14484539,,"2023-01-13 13:44:19"
"Trodat srl",,,,RO3969148,,"2023-01-13 13:44:19"
"Tropical Decor SRL",,,,RO23404806,,"2023-01-13 13:44:19"
"Troter Restaurant srl",,,,RO11466740,,"2023-01-13 13:44:19"
"Trotter Management SRL",,,,RO18631004,,"2023-01-13 13:44:19"
"Trotter Prim SRL",,,,RO16281301,,"2023-01-13 13:44:19"
"Trotusul SA",,,,RO958985,,"2023-01-13 13:44:19"
"Try Star Management SRL",,,,RO17553765,,"2023-01-13 13:44:19"
"Tudorache Taxi",,,,1.51091E+12,,"2023-01-13 13:44:19"
"Turbo Vet 2003 srl",,,,RO16028920,,"2023-01-13 13:44:19"
Tutnic,,,,RO3163908,,"2023-01-13 13:44:19"
"Tuvkarpat SRL",,,,RO18929567,,"2023-01-13 13:44:19"
"UM 02548",,,,6946211,,"2023-01-13 13:44:19"
"UPS Romania SRL",,,,RO13191000,,"2023-01-13 13:44:19"
"Ultra Pro Computers srl",,,,RO1778971,,"2023-01-13 13:44:19"
"Ultrasonic SRL",,,,RO16434774,,"2023-01-13 13:44:19"
"Unicredit Broker",,,,,,"2023-01-13 13:44:19"
"Unigaz SRL",,,,RO5247363,,"2023-01-13 13:44:19"
"Unitatea Nationala a Transporturilor Rutieri din Romania",,,,RO2836143,,"2023-01-13 13:44:19"
"United Friends",,,,RO2685030,,"2023-01-13 13:44:19"
"Universal Paper SRL",,,,RO13763624,,"2023-01-13 13:44:19"
Universus,,,,RO2630940,,"2023-01-13 13:44:19"
"Urban Outfilters SRL",,,,38330774,,"2023-01-13 13:44:19"
"Urgent Curier SRL",,,,RO15753783,,"2023-01-13 13:44:19"
"Us Food Network SA",,,,RO6645790,,"2023-01-13 13:44:19"
"Uterque Fashion Ro SRL",,,,RO36940636,,"2023-01-13 13:44:19"
"VACANTA srl",,,,RO71203,,"2023-01-13 13:44:19"
Vacanta,,,,RO371203,,"2023-01-13 13:44:19"
"Vadrexim 2000 SRL",,,,RO11767700,,"2023-01-13 13:44:19"
"Vadrexim Total Serv SRL",,,,15585183,,"2023-01-13 13:44:19"
"Vag Auto Net SRL",,,,RO35786793,,"2023-01-13 13:44:19"
Valada,,,,RO14614990,,"2023-01-13 13:44:19"
"Valdim Invest Instal SRL",,,,RO23395155,,"2023-01-13 13:44:19"
Valdo,,,,RO4926285,,"2023-01-13 13:44:19"
"Valelectronic Component 2017",,,,RO37348579,,"2023-01-13 13:44:19"
"Valentino nico",,,,RO0407460,,"2023-01-13 13:44:19"
Valentus,,,,RO4108332,,"2023-01-13 13:44:19"
"Valion Trading srl",,,,RO260399,,"2023-01-13 13:44:19"
"Vallor Impex Com SRL",,,,RO25808819,,"2023-01-13 13:44:19"
"Valmir Service SRL",,,,RO472305,,"2023-01-13 13:44:19"
Vama,,,,,,"2023-01-13 13:44:19"
Vasilaropoulos,,,,RO17018657,,"2023-01-13 13:44:19"
"Vatafu Anca",,,,2.63112E+12,,"2023-01-13 13:44:19"
"Vavian trading",,,,RO281324,,"2023-01-13 13:44:19"
"Vector Active Grup SRL",,,,RO15291900,,"2023-01-13 13:44:19"
"Vector Electronic SRL",,,,RO10520280,,"2023-01-13 13:44:19"
"Vector International SRL",,,,RO5589307,,"2023-01-13 13:44:19"
"Velis Selia SRL",,,,RO32337684,,"2023-01-13 13:44:19"
"Velma prestr",,,,RO637150,,"2023-01-13 13:44:19"
"Velmed International SRL",,,,RO29403699,,"2023-01-13 13:44:19"
Velten,,,,RO5493392,,"2023-01-13 13:44:19"
"Vendo Activ SRL",,,,RO16100812,,"2023-01-13 13:44:19"
"Verasys International",,,,RO15565607,,"2023-01-13 13:44:19"
"Verbo International",,,,RO15551830,,"2023-01-13 13:44:19"
"Vertigo Sun SRL",,,,RO30880322,,"2023-01-13 13:44:19"
"Viami Computers SRL",,,,RO9804190,,"2023-01-13 13:44:19"
"Viata medicala",,,,RO4197070,,"2023-01-13 13:44:19"
"Vicsal Prodcom SRL",,,,RO9509734,,"2023-01-13 13:44:19"
"Victoria's Flowers SRL",,,,RO32511950,,"2023-01-13 13:44:19"
"Vilcu florea pf taxi",,,,1.57091E+12,,"2023-01-13 13:44:19"
Vinexpert,,,,RO11763890,,"2023-01-13 13:44:19"
Vio-costin,,,,RO6421718,,"2023-01-13 13:44:19"
"Vioris impex",,,,RO3003320,,"2023-01-13 13:44:19"
Visit,,,,RO5257073,,"2023-01-13 13:44:19"
"Vitalpet Care SRL",,,,39286405,,"2023-01-13 13:44:19"
"VitroBioChem SRL",,,,RO13794965,,"2023-01-13 13:44:19"
"Vlamir Impex SRL",,,,RO338924,,"2023-01-13 13:44:19"
"Vlasim Amareto SRL",,,,RO25367372,,"2023-01-13 13:44:19"
Vodafone,,,,RO8971726,,"2023-01-13 13:44:19"
"Voendbert Com.SRL",,,,RO16746555,,"2023-01-13 13:44:19"
"Vola.ro SRL",,,,RO17043146,,"2023-01-13 13:44:19"
"Vora Invest Team SRL",,,,RO29355648,,"2023-01-13 13:44:19"
"Vretas srl",,,,RO9945,,"2023-01-13 13:44:19"
Walcom,,,,RO556765,,"2023-01-13 13:44:19"
"Wash Center Impex SRL",,,,RO8451294,,"2023-01-13 13:44:19"
"Web style",,,,RO19065525,,"2023-01-13 13:44:19"
Wellness,,,,RO13773253,,"2023-01-13 13:44:19"
"West Tires&Cars SRL",,,,RO14051152,,"2023-01-13 13:44:19"
"White Deals SRL",,,,41584357,,"2023-01-13 13:44:19"
"Winservice 2003 SRL",,,,RO15495285,,"2023-01-13 13:44:19"
"Wise Advertising SRL",,,,RO34160391,,"2023-01-13 13:44:19"
"Wolfadvertise SRL",,,,RO26697263,,"2023-01-13 13:44:19"
"XTC SERV srl",,,,RO9274159,,"2023-01-13 13:44:19"
"XXXA&A Medical Vet",,,,RO12158498,,"2023-01-13 13:44:19"
XXXIOMC,,,,,,"2023-01-13 13:44:19"
"XXXXCMD Alexandru Diaconescu",,,,RO051474,,"2023-01-13 13:44:19"
"Xmovetrans SRL",,,,RO18238812,,"2023-01-13 13:44:19"
"Yakuza Store SRL",,,,RO42892410,,"2023-01-13 13:44:19"
"You&Me Exim SRL",,,,RO12581349,,"2023-01-13 13:44:19"
"Yves Rocher Romania SRL",,,,RO25157427,,"2023-01-13 13:44:19"
"Zamo Shop SRL",,,,RO36905922,,"2023-01-13 13:44:19"
"Zaniat Com SRL",,,,RO18646234,,"2023-01-13 13:44:19"
"Zara Bucuresti SRL",,,,RO22304337,,"2023-01-13 13:44:19"
"Zeal Advertising SRL",,,,RO14851791,,"2023-01-13 13:44:19"
"Zeus Service SRL",,,,RO9843830,,"2023-01-13 13:44:19"
"Zon Management Serv SRL",,,,RO17562836,,"2023-01-13 13:44:19"
"Zoomserie SRL",,,,RO29130548,,"2023-01-13 13:44:19"
"Zooperkids SRL",,,,RO24169393,,"2023-01-13 13:44:19"
Zymond,,,,RO11072100,,"2023-01-13 13:44:19"
"_Ina International SRL",,,,RO404653,,"2023-01-13 13:44:19"
"_Institutul Cantacuzino",,,,RO15203810,,"2023-01-13 13:44:19"
"_MOL Romania",,,,,,"2023-01-13 13:44:19"
_Vodafone,,,,RO8971726,,"2023-01-13 13:44:19"
"Ad Artist Studio SRL",,,,RO33947117,,"2023-01-13 13:44:19"
"Agroindustriala SA",,,,RO951138,,"2023-01-13 13:44:19"
"Asociatia ""Fotbal Club Municipiul Bacau""",,,,RO9366090,,"2023-01-13 13:44:19"
"Asociatia Dedeman",,,,RO16749586,,"2023-01-13 13:44:19"
"Asociatia Familiala Cioca",,,,RO2477694,,"2023-01-13 13:44:19"
"Atelier Criscakes SRL",,,,36698339,,"2023-01-13 13:44:19"
"Auto Moto Invest SRL",,,,RO15455973,,"2023-01-13 13:44:19"
"Bake Market SRL",,,,28215700,,"2023-01-13 13:44:19"
"Belldum Com SRL",,,,31385373,,"2023-01-13 13:44:19"
"Birou Judecatoresc Ciobanu Ioan",,,,RO20664615,,"2023-01-13 13:44:19"
"Bohemia Turism",,,,RO20120524,,"2023-01-13 13:44:19"
"CCI Bacau",,,,,,"2023-01-13 13:44:19"
"Cofetaria Pasaj SRL",,,,RO7632918,,"2023-01-13 13:44:19"
"Complex Favorit SRL",,,,RO953953,,"2023-01-13 13:44:19"
"Dasitrade SRL",,,,RO18802465,,"2023-01-13 13:44:19"
"Data Sistem SRL",,,,RO10286229,,"2023-01-13 13:44:19"
"Dedeman SRL",,,,RO2816464,,"2023-01-13 13:44:19"
"Dedeman automobile SRL",,,,RO15934070,,"2023-01-13 13:44:19"
"Discovolante SRL",,,,RO5994350,,"2023-01-13 13:44:19"
"Eral Plant SRL",,,,RO26959810,,"2023-01-13 13:44:19"
