Subiect,"Tip Interventie","Motiv Interventie",Organizatie,Status,"Prioritate Caz","Data Deschidere","Data Inchidere","Nume Echipament","Atribuit Lui"
"Revizie conform contract Pathfast Pv.552",,,,,,2020-03-02,,,
"Revizie conform contract Pathfast Pv.551",,,,,,2020-03-02,,,
"Predare Verify Now Pv.961",,,,,,2020-03-02,,,
"Remediere defect Gastat Pv.435",,,,,,2020-03-02,,,
"Remediere defect Gastat",,,,,,2020-03-02,,,
"Revizie Pathfast. PV.970",,,,,,2020-03-02,,,
"Revizie Pathfast pv.1036",,,,,,2020-03-02,,,
"Revizie Pathfast Pv.1291",,,,,,2020-03-02,,,
"Revizie Pathfast PV.1229",,,,,,2020-03-02,,,
"Revizie Pathfast ",,,,,,2020-03-02,,,
"Revizie Pathfast Pv.1227",,,,,,2020-03-02,,,
"Revizie Pathfast pv.1292",,,,,,2020-03-02,,,
"Verificare electrocautere BO. Pv.677",,,,,,2020-03-02,,,
"Verificare electrcautere Pv.587",,,,,,2020-03-02,,,
"Verificare Pathfast Pv.1373",,,,,,2020-03-02,,,
"Revizie HT70 conform contract Pv.1316",,,,,,2020-03-02,,,
"Control QC Pathfast .PV.1458",,,,,,2020-03-02,,,
"Inlocuire placa GCM",,,,,,2020-03-03,,,
"service Valleylab",,,,,,2020-03-04,,,
"service pathfast",,,,,,2020-03-04,,,
"mentenanta GASTAT1835",,,,,,2020-03-04,,,
"mentenanta GASTAT1830",,,,,,2020-03-04,,,
"service Urit",,,,,,2020-03-04,,,
"intretinere Pathfast",,,,,,2020-03-04,,,
"Predare Ventolator Monnal T60 Pv.1665",,,,,,2020-03-04,,,
"intretinere Pathfast",,,,,,2020-03-04,,,
"mentenanta GASTAT1835",,,,,,2020-03-04,,,
"intretinere Pathfast",,,,,,2020-03-04,,,
"mentenanta GASTAT1830",,,,,,2020-03-04,,,
"service Gastat - pv 436",,,,,,2020-03-04,,,
"intretinere Pathfast",,,,,,2020-03-04,,,
"service Sterinis - pv 681",,,,,,2020-03-04,,,
"service pathfast",,,,,,2020-03-04,,,
"revizie Sterinis - pv 972",,,,,,2020-03-04,,,
"mentenanta HT70 - PV 973",,,,,,2020-03-04,,,
"intretinere Pathfast",,,,,,2020-03-04,,,
"mentenanta Pathfast - pv 974",,,,,,2020-03-04,,,
"SERVICE VALLEYLAB- PV 975",,,,,,2020-03-04,,,
"service Valleylab - pv 1003",,,,,,2020-03-04,,,
"mentenanta Pathfast - pv 975 ",,,,,,2020-03-04,,,
"service Valleylab- pv 1154",,,,,,2020-03-04,,,
"mentenanta Pathfast - pv 1155",,,,,,2020-03-04,,,
"mentenanta Pathfast  - pv 1156",,,,,,2020-03-04,,,
"mentenanta Pathfast  - pv 1201",,,,,,2020-03-04,,,
"mentenanta pathfast - pv 1221",,,,,,2020-03-05,,,
"intretinere Pathfast",,,,,,2020-03-05,,,
"mentenanta pathfast - pv 1222",,,,,,2020-03-05,,,
"mentenanta pathfast - pv 1223",,,,,,2020-03-05,,,
"predare Sterinis - pv 1473",,,,,,2020-03-05,,,
"service pathfast",,,,,,2020-03-05,,,
"mentenanta Pathfast - pv 1475",,,,,,2020-03-05,,,
"mentenanta GASTAT1835",,,,,,2020-03-05,,,
"intretinere Pathfast",,,,,,2020-03-05,,,
"intretinere Pathfast",,,,,,2020-03-06,,,
"mentenanta GASTAT1830",,,,,,2020-03-06,,,
"intretinere Pathfast",,,,,,2020-03-06,,,
"intretinere Pathfast",,,,,,2020-03-06,,,
"service pathfast",,,,,,2020-03-06,,,
"service pathfast",,,,,,2020-03-06,,,
"service gastat navi",,,,,,2020-03-06,,,
"Revizie periodica Pathfast - PV 1534",,,,,,2020-03-10,,,
"Revizie periodica Pathfast - PV 1532",,,,,,2020-03-10,,,
"Revizie periodica Pathfast - PV 1533",,,,,,2020-03-10,,,
"Cerere interventie Hemochron - PV 1812",,,,,,2020-03-10,,,
"Interventie Pathfast - PV 1437",,,,,,2020-03-10,,,
"Revizie periodica Pathfast - PV 1550",,,,,,2020-03-10,,,
"Cerere interventie Pathfast - PV 1524",,,,,,2020-03-10,,,
"Returnare echipament PV - 934",,,,,,2020-03-10,,,
"Service Hemochron - PV 766",,,,,,2020-03-10,,,
"Revizie Pathfast - PV 731",,,,,,2020-03-10,,,
"Service Pathfast - PV 2567",,,,,,2020-05-14,,,
"Revizie Pathfast - PV 2566",,,,,,2020-05-14,,,
"Revizie periodica - PV 2022",,,,,,2020-05-14,,,
"Revizie periodica - PV 2012",,,,,,2020-05-14,,,
"Revizie periodica - PV 2023",,,,,,2020-05-14,,,
"Service Pathfast - PV 1968",,,,,,2020-05-14,,,
"Service Pathfast - PV 2154",,,,,,2020-05-14,,,
"Pathfast - PV 2344",,,,,,2020-05-14,,,
"Instalare pathfast - PV 2345",,,,,,2020-05-14,,,
"Ridicare ventilator Monnal T60 PV.3548 ",,,,,,2020-05-22,,,
"Verificare Gastat 1835 Pv.3547",,,,,,2020-05-22,,,
"Predare echipament dupa reparatie PV.2970",,,,,,2020-05-22,,,
"Verificare Urit 8021 Pv.3546",,,,,,2020-05-22,,,
"Verificare Gastat Pv.3545",,,,,,2020-05-22,,,
"Verificare si reparatie Ventilator Monnal T60 Pv.3541",,,,,,2020-05-22,,,
"Inlocuire tubulatura Gastat 1835 Pv.3542",,,,,,2020-05-22,,,
"Preluare echipament defect . Pv3543",,,,,,2020-05-22,,,
"Predare ventilator dupa reparatie Pv.2563",,,,,,2020-06-10,,,
"Predare ventilator Monnal dupa reparatie Pv.3797",,,,,,2020-06-17,,,
"Instalare analizor Pv.3975",,,,,,2020-06-17,,,
"Ridicare analizor pentru reparatie. Pv.3952",,,,,,2020-06-17,,,
"Predare electrocauter dupa reparatie Pv.3749",,,,,,2020-06-17,,,
"Verificare NORMA Icon5 Pv.2398",,,,,,2020-06-17,,,
"Ridicare ventilator pentru verificare Pv.3804",,,,,,2020-06-17,,,
"Predare analizor Pahtfast Pv.3603",,,,,,2020-06-17,,,
"Predare ventilator dupa verificare Pv.1301",,,,,,2020-06-17,,,
"Predare ventilator dupa reparatie Pv.3882",,,,,,2020-06-17,,,
"Verificare analizor Laborator Pv.3933",,,,,,2020-06-17,,,
"Ridicare Pathfast pentru reparatie Pv.4002",,,,,,2020-06-17,,,
"Predare analizor dupa reparatie  Pv.4021",,,,,,2020-06-17,,,
"Predare analizor dupa reparatie PV.4020",,,,,,2020-06-17,,,
"Punere in functiune Pathfast Pv.4009",,,,,,2020-06-17,,,
"Predare electrocautere dupa reparatie Pv.4192",,,,,,2020-06-26,,,
"predare Valleylab - pv 1705",,,,,,2020-07-15,,,
"predare Pathfast - pv 2938",,,,,,2020-07-15,,,
"ridicare Pathfast - pv 2885",,,,,,2020-07-15,,,
"service Gastat 1835 - pv 3288",,,,,,2020-07-15,,,
"service Gastat 1835 - pv 3321",,,,,,2020-07-15,,,
"verificare Spotchem - pv 3438",,,,,,2020-07-15,,,
"service Pathfast - pv 3559",,,,,,2020-07-15,,,
"service Pathfast - pv 3790",,,,,,2020-07-15,,,
"instalare Gastat 700 - pv 3772",,,,,,2020-07-15,,,
"service PTH + Urit - pv 4045",,,,,,2020-07-15,,,
"calibrare Pathfast  - pv 4144",,,,,,2020-07-15,,,
"predare Spotchem - pv 4219",,,,,,2020-07-15,,,
"verificare laringoscop - pv 4433",,,,,,2020-07-15,,,
"verificare ventilator HT70 - PV 4432",,,,,,2020-07-15,,,
"service Sterinis - pv 4513",,,,,,2020-07-15,,,
"service Valleylab - pv 4503",,,,,,2020-07-15,,,
"mentenanta GASTAT1830",,,,,,2020-07-17,,,
"service gastat navi",,,,,,2020-07-17,,,
"service pathfast",,,,,,2020-07-17,,,
"intretinere Pathfast",,,,,,2020-07-17,,,
"instalare pathfast 1403C2086",,,,,,2020-07-17,,,
"service pathfast",,,,,,2020-07-17,,,
"service pathfast",,,,,,2020-07-17,,,
"service pathfast",,,,,,2020-07-17,,,
"service Valleylab- pv 4770",,,,,,2020-07-24,,,
"mentenanta Valleylab- pv 4661",,,,,,2020-07-24,,,
"service Valleylab  - pv 4746",,,,,,2020-07-24,,,
"Service Pathfast - PV 5124",,,,,,2020-08-12,,,
"Interventie pathfast - PV 3408",,,,,,2020-08-12,,,
"Interventie pathfast - PV 3531",,,,,,2020-08-12,,,
"Interventie pathfast - PV 3616",,,,,,2020-08-12,,,
"Revizie periodica Pathfast - PV 4864",,,,,,2020-08-12,,,
"Revizie periodica Pathfast - PV 4840",,,,,,2020-08-12,,,
"Interventie Pathfast - PV 4563",,,,,,2020-08-12,,,
"Interventie Pathfast - PV 3775",,,,,,2020-08-12,,,
"Interventie Pathfast - PV 3436",,,,,,2020-08-12,,,
"Interventie pathfast - PV 3377",,,,,,2020-08-12,,,
"Interventie pathfast - PV 2380",,,,,,2020-08-12,,,
"Interventie pathfast - PV 4123",,,,,,2020-08-12,,,
"service Hemochron elite pv 4932",,,,,,2020-09-03,,,
"service Hemochron elite pv 5041",,,,,,2020-09-03,,,
"service Sterinis+ Spotchem - pv 5217",,,,,,2020-09-03,,,
"service Valleylab - pv 5283",,,,,,2020-09-03,,,
"service Valleylab - PV 5557",,,,,,2020-09-03,,,
"service Gastat 700 - pv5535",,,,,,2020-09-03,,,
"Revizie periodica PATHFAST PV - 4508",,,,,,2020-09-11,,,
"Revizie periodica PATHFAST PV - 4507",,,,,,2020-09-11,,,
"Revizie periodica PATHFAST PV - 4506",,,,,,2020-09-11,,,
"Revizie periodica PATHFAST PV - 4332",,,,,,2020-09-11,,,
"Revizie periodica PATHFAST PV - 4331",,,,,,2020-09-11,,,
"Revizie periodica PATHFAST PV - 4336",,,,,,2020-09-11,,,
"Revizie periodica PATHFAST PV - 5462",,,,,,2020-09-11,,,
"Revizie periodica PATHFAST PV - 5461",,,,,,2020-09-11,,,
"Verificare Gastat 1830 ",,,,,,2020-09-21,,,
"Predare Gastat 1835 Pv.5080",,,,,,2020-09-21,,,
"Revizie Pahtfast Pv.5040",,,,,,2020-09-21,,,
"Predare electrocauter ForceFx Pv.5039",,,,,,2020-09-21,,,
"Ridicare ventilator pentru vericare anuala PV.4922",,,,,,2020-09-21,,,
"Predare ventilator Monnal T60 PV.4970",,,,,,2020-09-21,,,
"Ridicare ventilator defect Monnal T60.PV.4098",,,,,,2020-09-21,,,
"Predare electrocautere după reparație  PV.4192",,,,,,2020-09-21,,,
"Ridicare echipament Norma Icon 3",,,,,,2020-09-21,,,
"Predare electrocauter ForceFX dupa reparatie",,,,,,2020-09-21,,,
"Predare echipament dupa reparatie Pv.4646",,,,,,2020-09-21,,,
"Predare echipament Pathfast Pv.4355",,,,,,2020-09-21,,,
"Verificare electrocauter ForceTriad ",,,,,,2020-09-21,,,
"Predare ventilator Monnal T60 după reparație  PV.4098",,,,,,2020-09-21,,,
"Ridicare ventilator UTIC Elias.",,,,,,2020-09-21,,,
"Predare ventilator Monnal T60 PV.5761",,,,,,2020-09-21,,,
"Ridicare electrocauter Force Fx. ",,,,,,2020-09-21,,,
"Predare electrocauter după verificare.",,,,,,2020-09-21,,,
"service Sterinis - pv 5681",,,,,,2020-09-24,,,
"mentenanta Gastat+ Pathfast - pv 5900",,,,,,2020-09-24,,,
"SERVICE Gastat - pv 5938",,,,,,2020-09-24,,,
"service Valleylab- pv 5969",,,,,,2020-09-24,,,
"service Monnal T60 - pv 5982",,,,,,2020-09-24,,,
"service Monnal T60 - pv 6056",,,,,,2020-09-24,,,
"service Pathfast",,,,,,2020-10-01,,,
"service Gastat Navi",,,,,,2020-10-01,,,
"service Gastat 1830",,,,,,2020-10-01,,,
"service Maxibio",,,,,,2020-10-01,,,
"service Maxibio",,,,,,2020-10-01,,,
"service Gastat 1830",,,,,,2020-10-01,,,
"service Valleylab - pv 6157",,,,,,2020-10-02,,,
"service Valleylab - pv 6278",,,,,,2020-10-02,,,
"service Pathfast - pv 6244",,,,,,2020-10-02,,,
"Ridicare echipament defect Norma Icon 3 ",,,,,,2020-10-08,,,
"Predare Norma Icon 3 ",,,,,,2020-10-08,,,
"Predare Norma Icon 3 ",,,,,,2020-10-08,,,
"Ridicare Gastat Navi defect. ",,,,,,2020-10-08,,,
"Verificare Pathfast ",,,,,,2020-10-08,,,
"Ridicare electrcautere defecte SMC",,,,,,2020-10-08,,,
"Predare electrocautere Valleylab. PV.6078",,,,,,2020-10-08,,,
"Predare ventilator dupa reparatie. PV.5851",,,,,,2020-10-08,,,
"Ridicare Norma pentru inlocurea kitului de mentenanta anuala. ",,,,,,2020-10-08,,,
"service Maxibio",,,,,,2020-11-05,,,
"intretinere Pathfast",,,,,,2020-11-05,,,
"intretinere Pathfast",,,,,,2020-11-05,,,
"service Pathfast",,,,,,2020-11-05,,,
"service Pathfast",,,,,,2020-11-05,,,
"service Pathfast",,,,,,2020-11-05,,,
"service Gastat 735",,,,,,2020-11-05,,,
"Revizie anuala Icon 3 Pv.7088",,,,,,2020-11-11,,,
"Inlocuire baterie interna Monnal T60 ",,,,,,2020-11-11,,,
"Ridicare analizor Pathfast pentru service. Pv.7056",,,,,,2020-11-11,,,
"Ridicare Pathfast Cardio 2 SMC",,,,,,2020-11-11,,,
"Interventie Pathfast PV - 6012",,,,,,2020-11-25,,,
"Interventie Pathfast PV -6169",,,,,,2020-11-25,,,
"Interventie Pathfast PV - 6311",,,,,,2020-11-25,,,
"Interventie Electrocauter PV - 6310",,,,,,2020-11-25,,,
"Revizie periodica PATHFAST PV - 6211",,,,,,2020-11-25,,,
"Revizie periodica PATHFAST PV - 6212",,,,,,2020-11-25,,,
"Interventie Pathfast PV - 5715",,,,,,2020-11-25,,,
"Interventie Pathfast PV - 6152",,,,,,2020-11-26,,,
"Interventie valleylab force 2 PV - 6151",,,,,,2020-11-26,,,
"Revizie PATHFAST PV - 6509",,,,,,2020-11-26,,,
"Interventie Pathfast PV - 6648",,,,,,2020-11-26,,,
"Interventie Pathfast PV - 6668",,,,,,2020-11-26,,,
"Interventie Pathfast PV - 6639",,,,,,2020-11-26,,,
"Interventie Pathfast PV - 6829",,,,,,2020-11-26,,,
"service Gastat 735",,,,,,2020-12-15,,,
"service Gastat 735",,,,,,2020-12-15,,,
"service Maxibio",,,,,,2020-12-15,,,
"service Gastat 735",,,,,,2020-12-15,,,
"intretinere Pathfast",,,,,,2020-12-15,,,
"Predare electrocauter Valleylab Force Fx PV.8145",,,,,,2020-12-21,,,
"Remediere defect sesizat Norma Icon 3 PV.8201",,,,,,2020-12-21,,,
"Predare ventilator Monnal T75 Pv.8130",,,,,,2020-12-21,,,
"Preluare echipament in service Pathfast.",,,,,,2020-12-21,,,
"Predare echipament dupa reparatie.",,,,,,2020-12-21,,,
"Preluare echipament pentru reparatie ",,,,,,2020-12-21,,,
"Predare ventilator Monnal T60 PV.7773",,,,,,2020-12-21,,,
"Predare ventilator Monnal T60 PV.8274",,,,,,2021-01-12,,,
"Predare ventilator Monnal T60 dupa reparatie Pv.8275",,,,,,2021-01-12,,,
"Verificare echipament, inlocuire baterie interna si senzor O2 Pv.8276",,,,,,2021-01-12,,,
"Predare Icon 3 Pv.184",,,,,,2021-01-15,,,
"Predare Gastat 1835  Pv.205",,,,,,2021-01-15,,,
"Ridicare prdala bipolar Ponderas Pv.292",,,,,,2021-01-15,,,
"Verificare platforme electrochirurgie conform contract Pv.360",,,,,,2021-01-21,,,
"Verificare platforme electrochirurgie conform cotract PV.358",,,,,,2021-01-21,,,
"Verificare platforme de electrochirurgie conform contract. Pv.359",,,,,,2021-01-21,,,
"Cerere interventie electrocauter - PV 6851",,,,,,2021-01-26,,,
"Cerere interventie electrocauter - PV 7506",,,,,,2021-01-26,,,
"Interventie Pathfast PV - 6852",,,,,,2021-01-26,,,
"Cerere interventie Electrocauter - PV 6942",,,,,,2021-01-26,,,
"Cerere interventie Pathfast - PV 6941",,,,,,2021-01-26,,,
"Revizie periodica PATHFAST PV - 6710",,,,,,2021-01-26,,,
"Revizie periodica PATHFAST PV - 6711",,,,,,2021-01-26,,,
"Revizie periodica PATHFAST PV - 6709",,,,,,2021-01-26,,,
"Cerere interventie Pathfast - PV 7162",,,,,,2021-01-26,,,
"Cerere interventie Pathfast - PV 7419",,,,,,2021-01-26,,,
"Interventie Pathfast PV - 7384",,,,,,2021-01-26,,,
"Cerere interventie MaxiBio - PV 7529",,,,,,2021-01-26,,,
"Revizie periodica PATHFAST PV - 7556",,,,,,2021-01-26,,,
"Revizie periodica PATHFAST PV - 7557",,,,,,2021-01-26,,,
"Revizie periodica PATHFAST PV - 7558",,,,,,2021-01-26,,,
"Interventie Pathfast PV - 7161",,,,,,2021-01-26,,,
"Revizie periodica Versatrek PV - 8008",,,,,,2021-01-26,,,
"Revizie periodica PATHFAST PV - 8009",,,,,,2021-01-26,,,
"Revizie periodica Hemochron PV - 4508",,,,,,2021-01-26,,,
"Revizie periodica PATHFAST PV - 7965",,,,,,2021-01-26,,,
"Revizie periodica PATHFAST PV - 7964",,,,,,2021-01-26,,,
"Revizie periodica PATHFAST PV - 7966",,,,,,2021-01-26,,,
"Interventie Pathfast PV - 8051",,,,,,2021-01-26,,,
"Interventie Pathfast PV - 8052",,,,,,2021-01-26,,,
"service Gastat 735",,,,,,2021-02-02,,,
"service Gastat 1830",,,,,,2021-02-02,,,
"Verificare Monnal T60 Pv.684",,,,,,2021-02-08,,,
"Predare Gastat 1835 Pv.472",,,,,,2021-02-08,,,
"Ridicare Minibio pentru reparatie",,,,,,2021-02-08,,,
"Predare nebulizator Minibio Pv.800",,,,,,2021-02-08,,,
"Ridicare ventilator Monnal T60 Pv.474",,,,,,2021-02-08,,,
"Predare pedala Bipolar Pv.328",,,,,,2021-02-08,,,
"Predare Valleylab Force 8FX CAS",,,,,,2021-02-08,,,
"Predare Valleylab dupa reparatie Pv.475",,,,,,2021-02-08,,,
"predare aparat dupa reparatie",,,,,,2021-02-16,,,
"Preluare aparat defect ",,,,,,2021-02-16,,,
"revizie electrocautere conform contract",,,,,,2021-02-16,,,
"Eroare linia 2 ",,,,,,2021-02-16,,,
"Verificare functionare electrocauter ",,,,,,2021-02-16,,,
"Service Norma + Spotchem ",,,,,,2021-02-16,,,
"Gastat defect ",,,,,,2021-02-16,,,
"Predare Valleylab FT 10 ",,,,,,2021-02-16,,,
"Electrocauter FT 10 defect ",,,,,,2021-02-16,,,
"Ventilator Monnal T 60 defect ",,,,,,2021-02-16,,,
"Revizie conform contract ",,,,,,2021-02-16,,,
"Revizie Pathfast conform contract ",,,,,,2021-02-16,,,
"revizie electrocautere conform contract",,,,,,2021-02-16,,,
"Gastat 1835 defect ",,,,,,2021-02-16,,,
"Predare Pathfast reparat ",,,,,,2021-02-16,,,
"Predare Pathfast dupa reparatie ",,,,,,2021-02-16,,,
"revizie Pth conform contract ",,,,,,2021-02-16,,,
"Inlocuire Pth reparat ",,,,,,2021-02-16,,,
"Predare Gastat 735 dupa reparatie ",,,,,,2021-02-16,,,
"Predare Valleylab Force Fx",,,,,,2021-02-16,,,
"Inlocuire Ptf dupa reparatie ",,,,,,2021-02-16,,,
"Inlocuire Ptf dupa reparatie ",,,,,,2021-02-16,,,
"Capac blocat Pth",,,,,,2021-02-17,,,
"Inlocuire Pth dupa reparatie ",,,,,,2021-02-17,,,
"Preluare Unyvero ",,,,,,2021-02-17,,,
"Revizie Ptf conform contract",,,,,,2021-02-17,,,
"Revizie Ptf conform contract",,,,,,2021-02-17,,,
"Pathfast defect ",,,,,,2021-02-17,,,
"Imprimanta defecta Ptf",,,,,,2021-02-17,,,
"Service Gastat ",,,,,,2021-02-17,,,
"Preluare Norma defect",,,,,,2021-02-17,,,
"Preluare Gastat defect ",,,,,,2021-02-17,,,
"Pathfast defect ",,,,,,2021-02-17,,,
"Service Force Triad",,,,,,2021-02-17,,,
"Inlocuire tubulatura pompe Gastat ",,,,,,2021-02-17,,,
"Inlocuire Gastat reparat ",,,,,,2021-02-17,,,
"Predare Valleylab dupa reparatie",,,,,,2021-02-17,,,
"Preluare Valleylab defect",,,,,,2021-02-17,,,
"Verificare Valleylab Maternitatea Bucur",,,,,,2021-02-17,,,
"Revizie Pathfast conform contract ",,,,,,2021-02-17,,,
"Revizie Ptf conform contract",,,,,,2021-02-17,,,
"Inlocuire Ptf dupa reparatie ",,,,,,2021-02-18,,,
"Revizie Valleylab conform contract",,,,,,2021-02-18,,,
"Eroare calibrare Gastat 700",,,,,,2021-02-18,,,
"Preluare Valleylab defecte ",,,,,,2021-02-18,,,
"Verificare functionare electrocautere ",,,,,,2021-02-18,,,
"Predare Valleylab dupa reparatie ",,,,,,2021-02-18,,,
"Verificare Valleylab Maternitatea Bucur",,,,,,2021-02-18,,,
"Predare Valleylab dupa reparatie",,,,,,2021-02-18,,,
"Electrocauter defect ",,,,,,2021-02-18,,,
"Gastat Navi defect ",,,,,,2021-02-18,,,
"Predare Valleylab dupa reparatie",,,,,,2021-02-18,,,
"Gastat defect ",,,,,,2021-02-18,,,
"Inlocuire Ptf dupa reparatie ",,,,,,2021-02-18,,,
"Erori calibrare Ptf",,,,,,2021-02-18,,,
"Predare Valleylab dupa reparatie",,,,,,2021-02-18,,,
"Predare Pathfast dupa reparatie ",,,,,,2021-02-18,,,
"Calibrare markeri Pth",,,,,,2021-02-18,,,
"Inlocuire Pth defect",,,,,,2021-02-18,,,
"Preluare Pth pentru revizie ",,,,,,2021-02-18,,,
"Intretinere Ptf ",,,,,,2021-02-18,,,
"predare Pth dupa reparatie ",,,,,,2021-02-18,,,
"Predare Gastat dupa reparatie ",,,,,,2021-02-18,,,
"Predare Valleylab dupa reparatie",,,,,,2021-02-18,,,
"Erori masurare Pth",,,,,,2021-02-18,,,
"Predare Valleylab dupa reparatie",,,,,,2021-02-18,,,
"Inlocuire Ptf dupa reparatie ",,,,,,2021-03-03,,,
"Eroare PMT Pth",,,,,,2021-03-03,,,
"Gastat defect ",,,,,,2021-03-03,,,
"Revizie Ptf conform contract",,,,,,2021-03-03,,,
"Reparatie Gastat 1835 ",,,,,,2021-03-03,,,
"Pth defect ",,,,,,2021-03-03,,,
"Revizie Pathfast conform contract ",,,,,,2021-03-03,,,
"revizie electrocautere conform contract",,,,,,2021-03-03,,,
"Revizie Ptf conform contract",,,,,,2021-03-03,,,
"service Gastat 735",,,,,,2021-03-08,,,
"intretinere Pathfast",,,,,,2021-03-08,,,
"intretinere Pathfast",,,,,,2021-03-08,,,
"service Gastat 1830",,,,,,2021-03-08,,,
"intretinere Pathfast",,,,,,2021-03-08,,,
"Revizie  Ventilator T70",,,,,,2021-03-08,,,
"Pth defect",,,,,,2021-03-08,,,
"Pth defect ",,,,,,2021-03-08,,,
"Gastat defect ",,,,,,2021-03-08,,,
"Inlocuire Ptf dupa reparatie ",,,,,,2021-03-08,,,
"Electrocauter defect ",,,,,,2021-03-08,,,
"Predare aparate ",,,,,,2021-03-08,,,
"Gastat 1835 defect ",,,,,,2021-03-08,,,
"Gastat defect ",,,,,,2021-03-08,,,
"Electrocautere defecte ",,,,,,2021-03-08,,,
"Eroare E 300 Force Triad ",,,,,,2021-03-08,,,
"Pth defecte",,,,,,2021-03-08,,,
"Revizie Ptf conform contract",,,,,,2021-03-08,,,
"Revizie Ptf conform contract",,,,,,2021-03-08,,,
"Predare Pathfast dupa reparatie ",,,,,,2021-03-08,,,
"Calibrare markeri Pth",,,,,,2021-03-08,,,
"Predare ventilator T 60",,,,,,2021-03-08,,,
"Revizie Ptf conform contract",,,,,,2021-03-08,,,
"Revizie Ptf conform contract",,,,,,2021-03-08,,,
"Revizie Gastat",,,,,,2021-03-09,,,
"Electrocauter defect ",,,,,,2021-03-09,,,
"Electrocauter defect ",,,,,,2021-03-09,,,
"Inlocuire consumabile Gastat",,,,,,2021-03-09,,,
"Predare Gastat dupa reparatie ",,,,,,2021-03-09,,,
"Verificare functionare Gastat",,,,,,2021-03-09,,,
"Predare Gastat dupa reparatie ",,,,,,2021-03-09,,,
"Preluare Pth pentru revizie ",,,,,,2021-03-09,,,
"Gastat defect ",,,,,,2021-03-09,,,
"Inlocuire Ptf dupa reparatie ",,,,,,2021-03-09,,,
"Eroare flow Hb",,,,,,2021-03-09,,,
"Predare Valleylab dupa reparatie",,,,,,2021-03-09,,,
"Revizie Ptf conform contract",,,,,,2021-03-09,,,
"Revizie Ptf conform contract",,,,,,2021-03-09,,,
"Revizie Ptf conform contract",,,,,,2021-03-09,,,
"Revizie Ptf conform contract",,,,,,2021-03-09,,,
"Revizie Ptf conform contract",,,,,,2021-03-09,,,
"Preluare UC Versa Trek",,,,,,2021-03-09,,,
"Erori calibrare Ptf",,,,,,2021-03-09,,,
"Predare Pathfast dupa reparatie ",,,,,,2021-03-09,,,
"Predare Pathfast dupa reparatie ",,,,,,2021-03-09,,,
"Predare Gastat  dupa reparatie ",,,,,,2021-03-09,,,
"Revizie Ptf conform contract",,,,,,2021-03-09,,,
"Revizie Ptf conform contract",,,,,,2021-03-09,,,
"Revizie Ptf conform contract",,,,,,2021-03-09,,,
"Revizie Ptf conform contract",,,,,,2021-03-09,,,
"Revizie Ptf conform contract",,,,,,2021-03-09,,,
"Revizie Ptf conform contract",,,,,,2021-03-09,,,
"Revizie Ptf conform contract",,,,,,2021-03-09,,,
"Revizie Ptf conform contract",,,,,,2021-03-09,,,
"Eroare calibrare linia 4 Pth",,,,,,2021-03-18,,,
"Eroare lucru teste Pth",,,,,,2021-03-18,,,
"Eroare calibrare pCO2 ",,,,,,2021-03-18,,,
"Eroare temperatura bloc T Pth",,,,,,2021-03-18,,,
"Predare Pathfast dupa reparatie ",,,,,,2021-03-18,,,
"Revizie Pth",,,,,,2021-03-18,,,
"Predare Norma Icon ",,,,,,2021-03-18,,,
"Inlocuire Ptf dupa reparatie ",,,,,,2021-03-18,,,
"Upgrade cabluri PMT/BCR ",,,,,,2021-03-22,,,
"Upgrade cabluri PMT/BCR",,,,,,2021-03-22,,,
"Cerere interventie Pathfast - PV 597",,,,,,2021-03-22,,,
"Revizie periodica PATHFAST PV - 8212",,,,,,2021-03-22,,,
"Revizie periodica PATHFAST PV - 575",,,,,,2021-03-22,,,
"Revizie periodica PATHFAST PV - 574",,,,,,2021-03-22,,,
"Revizie periodica PATHFAST PV - 573",,,,,,2021-03-22,,,
"Revizie periodica PATHFAST PV - 1010",,,,,,2021-03-22,,,
"Revizie periodica PATHFAST PV - 1011",,,,,,2021-03-22,,,
"Revizie periodica PATHFAST PV - 1012",,,,,,2021-03-22,,,
"Predare panala monopolar PV.859",,,,,,2021-03-22,,,
"Revizie periodica PATHFAST PV - 1454",,,,,,2021-03-22,,,
"Verificare Vallaylab FT10 PV.863",,,,,,2021-03-22,,,
"Revizie periodica PATHFAST PV - 1456",,,,,,2021-03-22,,,
"Predare ventilator Monnal T60 dupa reparatie. Pv.982",,,,,,2021-03-22,,,
"Revizie periodica PATHFAST PV - 1455",,,,,,2021-03-22,,,
"Predare ventilator Monnal T60 Pv.1027",,,,,,2021-03-22,,,
"Inlocuire port bipolat defect PV.1139",,,,,,2021-03-22,,,
"Ridicare ventilator defect PV.1142",,,,,,2021-03-22,,,
"Revizie periodica PATHFAST PV - 1410",,,,,,2021-03-22,,,
"Verificare Pathfast PV.1167",,,,,,2021-03-22,,,
"Verificare ventilator Monnal T75 PV.1166",,,,,,2021-03-22,,,
"Cerere interventie Pathfast - PV 1632",,,,,,2021-03-22,,,
"Ridicare analizor Gastat Navi defect ",,,,,,2021-03-22,,,
"Predare analizor Gastat 1835 PV.1197",,,,,,2021-03-22,,,
"Verificare Vallaylab FX - 8CAS ",,,,,,2021-03-22,,,
"Ridicare analizor Norma pentru verificare si depanare.",,,,,,2021-03-22,,,
"Inlocuire port neutru Pv.1498",,,,,,2021-03-22,,,
